"Delivery Address ID","Delivery Address","Consignment Reference","Sale Order Reference","Sale Order Date added","Delivery Run Date","Date Delivered","Delivery Run",Quantity,Pallets,Spaces,"Cubic (m³)","Weight (kg)","Product Code","Product Name","Product Type","Expiry date","Unit of Measure","Order Qty","Ship Qty"
24073,"Petstock West Ipswich, , 339 Brisbane Street, WEST IPSWICH, , ",2842631,2842631,"2025-05-11 22:21:06",2025-05-14,"2025-05-14 15:07:38","METRO 2",5,0,0,0.145,82.5,CJS02KGV,"Glow Venison Roll 2kg x 8","Chiller 0C to +4C",2025-08-30,Carton,2,2
24073,"Petstock West Ipswich, , 339 Brisbane Street, WEST IPSWICH, , ",2842631,2842631,"2025-05-11 22:21:06",2025-05-14,"2025-05-14 15:07:38","METRO 2",5,0,0,0.145,82.5,CJS02KGK,"Glow Kangaroo Roll 2kg x 8","Chiller 0C to +4C",2025-08-23,Carton,2,2
24073,"Petstock West Ipswich, , 339 Brisbane Street, WEST IPSWICH, , ",2842631,2842631,"2025-05-11 22:21:06",2025-05-14,"2025-05-14 15:07:38","METRO 2",5,0,0,0.145,82.5,CJS02KGT,"Glow Turkey Roll 2kg x 8","Chiller 0C to +4C",2025-06-25,Carton,1,1
23836,"Petstock Ashmore, Petstock, 345 Southport Nerang Road, 6, ASHMORE, , ",2843643,2843643,"2025-05-12 15:07:10",2025-05-14,"2025-05-14 15:57:42","GOLD COAST",5,0,0,0.145,82.5,CJS02KGC,"Glow Chicken Roll 2kg x 8","Chiller 0C to +4C",2025-09-04,Carton,2,2
23836,"Petstock Ashmore, Petstock, 345 Southport Nerang Road, 6, ASHMORE, , ",2843643,2843643,"2025-05-12 15:07:10",2025-05-14,"2025-05-14 15:57:42","GOLD COAST",5,0,0,0.145,82.5,CJS02KGS,"Glow Salmon Roll 2kg x 8","Chiller 0C to +4C",2025-08-09,Carton,2,2
23836,"Petstock Ashmore, Petstock, 345 Southport Nerang Road, 6, ASHMORE, , ",2843643,2843643,"2025-05-12 15:07:10",2025-05-14,"2025-05-14 15:57:42","GOLD COAST",5,0,0,0.145,82.5,CJS02KGK,"Glow Kangaroo Roll 2kg x 8","Chiller 0C to +4C",2025-08-23,Carton,1,1
12027,"Petstock Maroochydore, , 5/72 Maroochydore Rd, MAROOCHYDORE, , ",2843645,2843645,"2025-05-12 14:51:28",2025-05-15,"2025-05-15 10:43:37","SUNSHINE COAST",5,0,0,0.145,82.5,CJS02KGC,"Glow Chicken Roll 2kg x 8","Chiller 0C to +4C",2025-09-04,Carton,1,1
12027,"Petstock Maroochydore, , 5/72 Maroochydore Rd, MAROOCHYDORE, , ",2843645,2843645,"2025-05-12 14:51:28",2025-05-15,"2025-05-15 10:43:37","SUNSHINE COAST",5,0,0,0.145,82.5,CJS02KGS,"Glow Salmon Roll 2kg x 8","Chiller 0C to +4C",2025-08-09,Carton,1,1
12027,"Petstock Maroochydore, , 5/72 Maroochydore Rd, MAROOCHYDORE, , ",2843645,2843645,"2025-05-12 14:51:28",2025-05-15,"2025-05-15 10:43:37","SUNSHINE COAST",5,0,0,0.145,82.5,CJS02KGV,"Glow Venison Roll 2kg x 8","Chiller 0C to +4C",2025-08-30,Carton,1,1
12027,"Petstock Maroochydore, , 5/72 Maroochydore Rd, MAROOCHYDORE, , ",2843645,2843645,"2025-05-12 14:51:28",2025-05-15,"2025-05-15 10:43:37","SUNSHINE COAST",5,0,0,0.145,82.5,CJS02KGK,"Glow Kangaroo Roll 2kg x 8","Chiller 0C to +4C",2025-08-23,Carton,1,1
12027,"Petstock Maroochydore, , 5/72 Maroochydore Rd, MAROOCHYDORE, , ",2843645,2843645,"2025-05-12 14:51:28",2025-05-15,"2025-05-15 10:43:37","SUNSHINE COAST",5,0,0,0.145,82.5,CJS02KGT,"Glow Turkey Roll 2kg x 8","Chiller 0C to +4C",2025-06-25,Carton,1,1
11641,"Petstock North Lakes, , Shop T5, NORTH LAKES, , ",2843647,2843647,"2025-05-12 14:44:48",2025-05-15,"2025-05-15 12:11:45","METRO 2",5,0,0,0.145,82.5,CJS02KGC,"Glow Chicken Roll 2kg x 8","Chiller 0C to +4C",2025-09-04,Carton,1,1
11641,"Petstock North Lakes, , Shop T5, NORTH LAKES, , ",2843647,2843647,"2025-05-12 14:44:48",2025-05-15,"2025-05-15 12:11:45","METRO 2",5,0,0,0.145,82.5,CJS02KGS,"Glow Salmon Roll 2kg x 8","Chiller 0C to +4C",2025-08-09,Carton,2,2
11641,"Petstock North Lakes, , Shop T5, NORTH LAKES, , ",2843647,2843647,"2025-05-12 14:44:48",2025-05-15,"2025-05-15 12:11:45","METRO 2",5,0,0,0.145,82.5,CJS02KGV,"Glow Venison Roll 2kg x 8","Chiller 0C to +4C",2025-08-30,Carton,1,1
11641,"Petstock North Lakes, , Shop T5, NORTH LAKES, , ",2843647,2843647,"2025-05-12 14:44:48",2025-05-15,"2025-05-15 12:11:45","METRO 2",5,0,0,0.145,82.5,CJS02KGK,"Glow Kangaroo Roll 2kg x 8","Chiller 0C to +4C",2025-08-23,Carton,1,1
11641,"Petstock North Lakes, , Shop T5, NORTH LAKES, , ",2844116,2844116,"2025-05-13 19:45:52",2025-05-15,"2025-05-15 12:09:43","METRO 2",7,0,0,0.203,115.5,CJS02KGC,"Glow Chicken Roll 2kg x 8","Chiller 0C to +4C",2025-09-04,Carton,2,2
11641,"Petstock North Lakes, , Shop T5, NORTH LAKES, , ",2844116,2844116,"2025-05-13 19:45:52",2025-05-15,"2025-05-15 12:09:43","METRO 2",7,0,0,0.203,115.5,CJS02KGS,"Glow Salmon Roll 2kg x 8","Chiller 0C to +4C",2025-08-09,Carton,3,3
11641,"Petstock North Lakes, , Shop T5, NORTH LAKES, , ",2844116,2844116,"2025-05-13 19:45:52",2025-05-15,"2025-05-15 12:09:43","METRO 2",7,0,0,0.203,115.5,CJS02KGV,"Glow Venison Roll 2kg x 8","Chiller 0C to +4C",2025-08-30,Carton,1,1
11641,"Petstock North Lakes, , Shop T5, NORTH LAKES, , ",2844116,2844116,"2025-05-13 19:45:52",2025-05-15,"2025-05-15 12:09:43","METRO 2",7,0,0,0.203,115.5,CJS02KGK,"Glow Kangaroo Roll 2kg x 8","Chiller 0C to +4C",2025-08-23,Carton,1,1
4566,"Secondbite, , 93 Northern Road, HEIDELBERG WEST, , 1034030",80564624,80564624,"2025-05-12 13:50:36",2025-05-14,"2025-05-13 08:00:40","Warehouse Outbound",0,1,0,1.764,250,5001364,"Bulla Choc Top Vanilla 150ml x 40","Frozen -18C to -20C",2025-05-15,Carton,,48
3437,"Hoyts Qld Redcliffe 8 S, , Peninsula Fair Shopping Centre, 272 Anzac Avenue, KIPPA-RING, , 1019910",80565734,80565734,"2025-05-12 13:50:43",2025-05-13,"2025-05-13 10:43:38","METRO 2",9,0,0,0.135,26.488,5001360,"Bulla Choc Top Boysenberry 150ml x 40","Frozen -18C to -20C",2025-09-05,Carton,1,1
3437,"Hoyts Qld Redcliffe 8 S, , Peninsula Fair Shopping Centre, 272 Anzac Avenue, KIPPA-RING, , 1019910",80565734,80565734,"2025-05-12 13:50:43",2025-05-13,"2025-05-13 10:43:38","METRO 2",9,0,0,0.135,26.488,5001363,"Bulla Choc Top Salted Caramel 150ml x 40","Frozen -18C to -20C",2025-08-17,Carton,2,2
3437,"Hoyts Qld Redcliffe 8 S, , Peninsula Fair Shopping Centre, 272 Anzac Avenue, KIPPA-RING, , 1019910",80565734,80565734,"2025-05-12 13:50:43",2025-05-13,"2025-05-13 10:43:38","METRO 2",9,0,0,0.135,26.488,5001364,"Bulla Choc Top Vanilla 150ml x 40","Frozen -18C to -20C",2025-08-15,Carton,4,4
3437,"Hoyts Qld Redcliffe 8 S, , Peninsula Fair Shopping Centre, 272 Anzac Avenue, KIPPA-RING, , 1019910",80565734,80565734,"2025-05-12 13:50:43",2025-05-13,"2025-05-13 10:43:38","METRO 2",9,0,0,0.135,26.488,5001463,"Bulla Choc Top Violet Crumble 123ml x 48","Frozen -18C to -20C",2025-08-03,Carton,2,2
3449,"Hoyts Qld Stafford, , City Centre Shopping Centre, 400 Stafford Road, STAFFORD, , 1034110",80565735,80565735,"2025-05-12 13:50:48",2025-05-13,"2025-05-13 14:53:45","METRO 1",14,0,0,0.27,53.897,5001360,"Bulla Choc Top Boysenberry 150ml x 40","Frozen -18C to -20C",2025-09-05,Carton,4,4
3449,"Hoyts Qld Stafford, , City Centre Shopping Centre, 400 Stafford Road, STAFFORD, , 1034110",80565735,80565735,"2025-05-12 13:50:48",2025-05-13,"2025-05-13 14:53:45","METRO 1",14,0,0,0.27,53.897,5001363,"Bulla Choc Top Salted Caramel 150ml x 40","Frozen -18C to -20C",2025-08-17,Carton,3,3
3449,"Hoyts Qld Stafford, , City Centre Shopping Centre, 400 Stafford Road, STAFFORD, , 1034110",80565735,80565735,"2025-05-12 13:50:48",2025-05-13,"2025-05-13 14:53:45","METRO 1",14,0,0,0.27,53.897,5001364,"Bulla Choc Top Vanilla 150ml x 40","Frozen -18C to -20C",2025-08-15,Carton,4,4
3449,"Hoyts Qld Stafford, , City Centre Shopping Centre, 400 Stafford Road, STAFFORD, , 1034110",80565735,80565735,"2025-05-12 13:50:48",2025-05-13,"2025-05-13 14:53:45","METRO 1",14,0,0,0.27,53.897,5001463,"Bulla Choc Top Violet Crumble 123ml x 48","Frozen -18C to -20C",2025-08-03,Carton,3,3
3586,"Hoyts Qld Sunnybank, , Cnr Mains Street & Mccullough Street, SUNNYBANK, , 1034112",80565736,80565736,"2025-05-12 13:50:52",2025-05-13,"2025-05-13 16:15:38","METRO 1",13,0,0,0.243,49.152,5001360,"Bulla Choc Top Boysenberry 150ml x 40","Frozen -18C to -20C",2025-09-05,Carton,4,4
3586,"Hoyts Qld Sunnybank, , Cnr Mains Street & Mccullough Street, SUNNYBANK, , 1034112",80565736,80565736,"2025-05-12 13:50:52",2025-05-13,"2025-05-13 16:15:38","METRO 1",13,0,0,0.243,49.152,5001363,"Bulla Choc Top Salted Caramel 150ml x 40","Frozen -18C to -20C",2025-08-17,Carton,3,3
3586,"Hoyts Qld Sunnybank, , Cnr Mains Street & Mccullough Street, SUNNYBANK, , 1034112",80565736,80565736,"2025-05-12 13:50:52",2025-05-13,"2025-05-13 16:15:38","METRO 1",13,0,0,0.243,49.152,5001364,"Bulla Choc Top Vanilla 150ml x 40","Frozen -18C to -20C",2025-08-15,Carton,4,4
3586,"Hoyts Qld Sunnybank, , Cnr Mains Street & Mccullough Street, SUNNYBANK, , 1034112",80565736,80565736,"2025-05-12 13:50:52",2025-05-13,"2025-05-13 16:15:38","METRO 1",13,0,0,0.243,49.152,5001463,"Bulla Choc Top Violet Crumble 123ml x 48","Frozen -18C to -20C",2025-08-03,Carton,2,2
3869,"Limelight Ipswich Pty Ltd, , Crn Downs St & The Terrace, IPSWICH, , 1034346",80566023,80566023,"2025-05-13 13:50:35",2025-05-14,"2025-05-14 15:07:42","METRO 2",7,0,0,0.189,39.342,5001360,"Bulla Choc Top Boysenberry 150ml x 40","Frozen -18C to -20C",2025-09-05,Carton,2,2
3869,"Limelight Ipswich Pty Ltd, , Crn Downs St & The Terrace, IPSWICH, , 1034346",80566023,80566023,"2025-05-13 13:50:35",2025-05-14,"2025-05-14 15:07:42","METRO 2",7,0,0,0.189,39.342,5001362,"Bulla Choc Top Mint 150ml x 40","Frozen -18C to -20C",2025-08-18,Carton,3,3
3869,"Limelight Ipswich Pty Ltd, , Crn Downs St & The Terrace, IPSWICH, , 1034346",80566023,80566023,"2025-05-13 13:50:35",2025-05-14,"2025-05-14 15:07:42","METRO 2",7,0,0,0.189,39.342,5001363,"Bulla Choc Top Salted Caramel 150ml x 40","Frozen -18C to -20C",2025-08-17,Carton,1,1
3869,"Limelight Ipswich Pty Ltd, , Crn Downs St & The Terrace, IPSWICH, , 1034346",80566023,80566023,"2025-05-13 13:50:35",2025-05-14,"2025-05-14 15:07:42","METRO 2",7,0,0,0.189,39.342,5001364,"Bulla Choc Top Vanilla 150ml x 40","Frozen -18C to -20C",2025-08-15,Carton,1,1
3423,"Hoyts Qld Tweed Heads, , Tweed City Shopping Centre, 54 Minijumbal Drive, TWEED HEADS SOUTH, , 1034244",80566558,80566558,"2025-05-15 13:50:37",2025-05-16,"2025-05-16 15:11:37","NORTHERN RIVERS",8,0,0,0.216,44.087,5001360,"Bulla Choc Top Boysenberry 150ml x 40","Frozen -18C to -20C",2025-09-05,Carton,1,1
3423,"Hoyts Qld Tweed Heads, , Tweed City Shopping Centre, 54 Minijumbal Drive, TWEED HEADS SOUTH, , 1034244",80566558,80566558,"2025-05-15 13:50:37",2025-05-16,"2025-05-16 15:11:37","NORTHERN RIVERS",8,0,0,0.216,44.087,5001362,"Bulla Choc Top Mint 150ml x 40","Frozen -18C to -20C",2025-08-18,Carton,3,3
3423,"Hoyts Qld Tweed Heads, , Tweed City Shopping Centre, 54 Minijumbal Drive, TWEED HEADS SOUTH, , 1034244",80566558,80566558,"2025-05-15 13:50:37",2025-05-16,"2025-05-16 15:11:37","NORTHERN RIVERS",8,0,0,0.216,44.087,5001363,"Bulla Choc Top Salted Caramel 150ml x 40","Frozen -18C to -20C",2025-08-17,Carton,2,1
3423,"Hoyts Qld Tweed Heads, , Tweed City Shopping Centre, 54 Minijumbal Drive, TWEED HEADS SOUTH, , 1034244",80566558,80566558,"2025-05-15 13:50:37",2025-05-16,"2025-05-16 15:11:37","NORTHERN RIVERS",8,0,0,0.216,44.087,5001363,"Bulla Choc Top Salted Caramel 150ml x 40","Frozen -18C to -20C",2025-09-21,Carton,2,1
3423,"Hoyts Qld Tweed Heads, , Tweed City Shopping Centre, 54 Minijumbal Drive, TWEED HEADS SOUTH, , 1034244",80566558,80566558,"2025-05-15 13:50:37",2025-05-16,"2025-05-16 15:11:37","NORTHERN RIVERS",8,0,0,0.216,44.087,5001364,"Bulla Choc Top Vanilla 150ml x 40","Frozen -18C to -20C",2025-08-15,Carton,1,1
3423,"Hoyts Qld Tweed Heads, , Tweed City Shopping Centre, 54 Minijumbal Drive, TWEED HEADS SOUTH, , 1034244",80566558,80566558,"2025-05-15 13:50:37",2025-05-16,"2025-05-16 15:11:37","NORTHERN RIVERS",8,0,0,0.216,44.087,5001463,"Bulla Choc Top Violet Crumble 123ml x 48","Frozen -18C to -20C",2025-08-02,Carton,1,1
3586,"Hoyts Qld Sunnybank, , Cnr Mains Street & Mccullough Street, SUNNYBANK, , 1034112",80566559,80566559,"2025-05-15 13:50:48",2025-05-16,"2025-05-16 13:30:37","METRO 1",6,0,0,0.162,33.516,5001362,"Bulla Choc Top Mint 150ml x 40","Frozen -18C to -20C",2025-08-18,Carton,6,6
3884,"Fridge It Logistics Sa, , 64a Ninth Avenue, WOODVILLE NORTH, , ",Acai/Adel-41,Acai/Adel-41,"2025-05-12 09:46:24",2025-05-14,"2025-05-19 11:14:32",SA,0,5,4,8.403,3025,SCACAI,"Acai Flow Scoopable","Frozen -18C to -20C",2026-12-23,Carton,216,65
3884,"Fridge It Logistics Sa, , 64a Ninth Avenue, WOODVILLE NORTH, , ",Acai/Adel-41,Acai/Adel-41,"2025-05-12 09:46:24",2025-05-14,"2025-05-19 11:14:32",SA,0,5,4,8.403,3025,SCACAI,"Acai Flow Scoopable","Frozen -18C to -20C",2026-12-23,Carton,216,65
3884,"Fridge It Logistics Sa, , 64a Ninth Avenue, WOODVILLE NORTH, , ",Acai/Adel-41,Acai/Adel-41,"2025-05-12 09:46:24",2025-05-14,"2025-05-19 11:14:32",SA,0,5,4,8.403,3025,SCACAI,"Acai Flow Scoopable","Frozen -18C to -20C",2026-12-23,Carton,216,65
3884,"Fridge It Logistics Sa, , 64a Ninth Avenue, WOODVILLE NORTH, , ",Acai/Adel-41,Acai/Adel-41,"2025-05-12 09:46:24",2025-05-14,"2025-05-19 11:14:32",SA,0,5,4,8.403,3025,SCACAI,"Acai Flow Scoopable","Frozen -18C to -20C",2026-10-17,Carton,216,4
3884,"Fridge It Logistics Sa, , 64a Ninth Avenue, WOODVILLE NORTH, , ",Acai/Adel-41,Acai/Adel-41,"2025-05-12 09:46:24",2025-05-14,"2025-05-19 11:14:32",SA,0,5,4,8.403,3025,SCACAI,"Acai Flow Scoopable","Frozen -18C to -20C",2026-11-14,Carton,216,2
