"Delivery Address ID","Delivery Address","Consignment Reference","Delivery Run Date","Date Delivered","Delivery Run",Quantity,Pallets,Spaces,"Cubic (m³)","Weight (kg)","Ship Qty"
11641,"Petstock North Lakes, , Shop T5, NORTH LAKES, , ",2844116,2025-05-15,"2025-05-15 12:09:43","METRO 2",7,0,0,0.203,115.5,3
11641,"Petstock North Lakes, , Shop T5, NORTH LAKES, , ",2844116,2025-05-15,"2025-05-15 12:09:43","METRO 2",7,0,0,0.203,115.5,1
11641,"Petstock North Lakes, , Shop T5, NORTH LAKES, , ",2844116,2025-05-15,"2025-05-15 12:09:43","METRO 2",7,0,0,0.203,115.5,1
4566,"Secondbite, , 93 Northern Road, HEIDELBERG WEST, , 1034030",80564624,2025-05-14,"2025-05-13 08:00:40","Warehouse Outbound",0,1,0,1.764,250,48
3437,"Hoyts Qld Redcliffe 8 S, , Peninsula Fair Shopping Centre, 272 Anzac Avenue, KIPPA-RING, , 1019910",80565734,2025-05-13,"2025-05-13 10:43:38","METRO 2",9,0,0,0.135,26.488,1
3437,"Hoyts Qld Redcliffe 8 S, , Peninsula Fair Shopping Centre, 272 Anzac Avenue, KIPPA-RING, , 1019910",80565734,2025-05-13,"2025-05-13 10:43:38","METRO 2",9,0,0,0.135,26.488,2
3437,"Hoyts Qld Redcliffe 8 S, , Peninsula Fair Shopping Centre, 272 Anzac Avenue, KIPPA-RING, , 1019910",80565734,2025-05-13,"2025-05-13 10:43:38","METRO 2",9,0,0,0.135,26.488,4
3437,"Hoyts Qld Redcliffe 8 S, , Peninsula Fair Shopping Centre, 272 Anzac Avenue, KIPPA-RING, , 1019910",80565734,2025-05-13,"2025-05-13 10:43:38","METRO 2",9,0,0,0.135,26.488,2
3449,"Hoyts Qld Stafford, , City Centre Shopping Centre, 400 Stafford Road, STAFFORD, , 1034110",80565735,2025-05-13,"2025-05-13 14:53:45","METRO 1",14,0,0,0.27,53.897,4
3449,"Hoyts Qld Stafford, , City Centre Shopping Centre, 400 Stafford Road, STAFFORD, , 1034110",80565735,2025-05-13,"2025-05-13 14:53:45","METRO 1",14,0,0,0.27,53.897,3
3449,"Hoyts Qld Stafford, , City Centre Shopping Centre, 400 Stafford Road, STAFFORD, , 1034110",80565735,2025-05-13,"2025-05-13 14:53:45","METRO 1",14,0,0,0.27,53.897,4
3449,"Hoyts Qld Stafford, , City Centre Shopping Centre, 400 Stafford Road, STAFFORD, , 1034110",80565735,2025-05-13,"2025-05-13 14:53:45","METRO 1",14,0,0,0.27,53.897,3
3586,"Hoyts Qld Sunnybank, , Cnr Mains Street & Mccullough Street, SUNNYBANK, , 1034112",80565736,2025-05-13,"2025-05-13 16:15:38","METRO 1",13,0,0,0.243,49.152,4
3586,"Hoyts Qld Sunnybank, , Cnr Mains Street & Mccullough Street, SUNNYBANK, , 1034112",80565736,2025-05-13,"2025-05-13 16:15:38","METRO 1",13,0,0,0.243,49.152,3
3586,"Hoyts Qld Sunnybank, , Cnr Mains Street & Mccullough Street, SUNNYBANK, , 1034112",80565736,2025-05-13,"2025-05-13 16:15:38","METRO 1",13,0,0,0.243,49.152,4
3586,"Hoyts Qld Sunnybank, , Cnr Mains Street & Mccullough Street, SUNNYBANK, , 1034112",80565736,2025-05-13,"2025-05-13 16:15:38","METRO 1",13,0,0,0.243,49.152,2
3869,"Limelight Ipswich Pty Ltd, , Crn Downs St & The Terrace, IPSWICH, , 1034346",80566023,2025-05-14,"2025-05-14 15:07:42","METRO 2",7,0,0,0.189,39.342,2
3869,"Limelight Ipswich Pty Ltd, , Crn Downs St & The Terrace, IPSWICH, , 1034346",80566023,2025-05-14,"2025-05-14 15:07:42","METRO 2",7,0,0,0.189,39.342,3
3869,"Limelight Ipswich Pty Ltd, , Crn Downs St & The Terrace, IPSWICH, , 1034346",80566023,2025-05-14,"2025-05-14 15:07:42","METRO 2",7,0,0,0.189,39.342,1
3869,"Limelight Ipswich Pty Ltd, , Crn Downs St & The Terrace, IPSWICH, , 1034346",80566023,2025-05-14,"2025-05-14 15:07:42","METRO 2",7,0,0,0.189,39.342,1
3423,"Hoyts Qld Tweed Heads, , Tweed City Shopping Centre, 54 Minijumbal Drive, TWEED HEADS SOUTH, , 1034244",80566558,2025-05-16,"2025-05-16 15:11:37","NORTHERN RIVERS",8,0,0,0.216,44.087,1
3423,"Hoyts Qld Tweed Heads, , Tweed City Shopping Centre, 54 Minijumbal Drive, TWEED HEADS SOUTH, , 1034244",80566558,2025-05-16,"2025-05-16 15:11:37","NORTHERN RIVERS",8,0,0,0.216,44.087,3
3423,"Hoyts Qld Tweed Heads, , Tweed City Shopping Centre, 54 Minijumbal Drive, TWEED HEADS SOUTH, , 1034244",80566558,2025-05-16,"2025-05-16 15:11:37","NORTHERN RIVERS",8,0,0,0.216,44.087,1
3423,"Hoyts Qld Tweed Heads, , Tweed City Shopping Centre, 54 Minijumbal Drive, TWEED HEADS SOUTH, , 1034244",80566558,2025-05-16,"2025-05-16 15:11:37","NORTHERN RIVERS",8,0,0,0.216,44.087,1
3423,"Hoyts Qld Tweed Heads, , Tweed City Shopping Centre, 54 Minijumbal Drive, TWEED HEADS SOUTH, , 1034244",80566558,2025-05-16,"2025-05-16 15:11:37","NORTHERN RIVERS",8,0,0,0.216,44.087,1
3423,"Hoyts Qld Tweed Heads, , Tweed City Shopping Centre, 54 Minijumbal Drive, TWEED HEADS SOUTH, , 1034244",80566558,2025-05-16,"2025-05-16 15:11:37","NORTHERN RIVERS",8,0,0,0.216,44.087,1
3586,"Hoyts Qld Sunnybank, , Cnr Mains Street & Mccullough Street, SUNNYBANK, , 1034112",80566559,2025-05-16,"2025-05-16 13:30:37","METRO 1",6,0,0,0.162,33.516,6
3884,"Fridge It Logistics Sa, , 64a Ninth Avenue, WOODVILLE NORTH, , ",Acai/Adel-41,2025-05-14,"2025-05-19 11:14:32",SA,0,5,4,8.403,3025,65
3884,"Fridge It Logistics Sa, , 64a Ninth Avenue, WOODVILLE NORTH, , ",Acai/Adel-41,2025-05-14,"2025-05-19 11:14:32",SA,0,5,4,8.403,3025,65
3884,"Fridge It Logistics Sa, , 64a Ninth Avenue, WOODVILLE NORTH, , ",Acai/Adel-41,2025-05-14,"2025-05-19 11:14:32",SA,0,5,4,8.403,3025,65
3884,"Fridge It Logistics Sa, , 64a Ninth Avenue, WOODVILLE NORTH, , ",Acai/Adel-41,2025-05-14,"2025-05-19 11:14:32",SA,0,5,4,8.403,3025,4
3884,"Fridge It Logistics Sa, , 64a Ninth Avenue, WOODVILLE NORTH, , ",Acai/Adel-41,2025-05-14,"2025-05-19 11:14:32",SA,0,5,4,8.403,3025,2
3884,"Fridge It Logistics Sa, , 64a Ninth Avenue, WOODVILLE NORTH, , ",Acai/Adel-41,2025-05-14,"2025-05-19 11:14:32",SA,0,5,4,8.403,3025,15
3884,"Fridge It Logistics Sa, , 64a Ninth Avenue, WOODVILLE NORTH, , ",Acai/Adel-41,2025-05-14,"2025-05-19 11:14:32",SA,0,5,4,8.403,3025,36
3884,"Fridge It Logistics Sa, , 64a Ninth Avenue, WOODVILLE NORTH, , ",Acai/Adel-41,2025-05-14,"2025-05-19 11:14:32",SA,0,5,4,8.403,3025,36
21552,"Chill Wa, Chill Wa, 5 Chifley Brace, JANDAKOT, , ",Acai/Per75,2025-05-15,"2025-05-21 08:49:24",WA,0,7,4,12.209,3242,65
21552,"Chill Wa, Chill Wa, 5 Chifley Brace, JANDAKOT, , ",Acai/Per75,2025-05-15,"2025-05-21 08:49:24",WA,0,7,4,12.209,3242,7
21552,"Chill Wa, Chill Wa, 5 Chifley Brace, JANDAKOT, , ",Acai/Per75,2025-05-15,"2025-05-21 08:49:24",WA,0,7,4,12.209,3242,36
21552,"Chill Wa, Chill Wa, 5 Chifley Brace, JANDAKOT, , ",Acai/Per75,2025-05-15,"2025-05-21 08:49:24",WA,0,7,4,12.209,3242,36
21552,"Chill Wa, Chill Wa, 5 Chifley Brace, JANDAKOT, , ",Acai/Per75,2025-05-15,"2025-05-21 08:49:24",WA,0,7,4,12.209,3242,36
21552,"Chill Wa, Chill Wa, 5 Chifley Brace, JANDAKOT, , ",Acai/Per75,2025-05-15,"2025-05-21 08:49:24",WA,0,7,4,12.209,3242,36
21552,"Chill Wa, Chill Wa, 5 Chifley Brace, JANDAKOT, , ",Acai/Per75,2025-05-15,"2025-05-21 08:49:24",WA,0,7,4,12.209,3242,36
21552,"Chill Wa, Chill Wa, 5 Chifley Brace, JANDAKOT, , ",Acai/Per75,2025-05-15,"2025-05-21 08:49:24",WA,0,7,4,12.209,3242,36
9351,"Kunara Organic Market  Doca, , 330 Mons Road, FOREST GLEN, , ",CAFE6834,2025-05-15,"2025-05-15 15:15:40","SUNSHINE COAST",3,0,0,0,36,3
829,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052","CC144999 12/05 RETURN COCOBELLA MDC leftovers + collat",2025-05-12,"2025-05-12 08:34:59",DEFAULT,104,0,0,0,145.6,19
829,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052","CC144999 12/05 RETURN COCOBELLA MDC leftovers + collat",2025-05-12,"2025-05-12 08:34:59",DEFAULT,104,0,0,0,145.6,85
181,"Bidfood Brisbane, , 59 Pegasus Drive, MORNINGSIDE, , Bidfood Brisbane","INV-23975/ P8337217.BRI",2025-05-15,"2025-05-15 12:49:44","METRO 1",0,1,0,1.35,297,12
181,"Bidfood Brisbane, , 59 Pegasus Drive, MORNINGSIDE, , Bidfood Brisbane","INV-23975/ P8337217.BRI",2025-05-15,"2025-05-15 12:49:44","METRO 1",0,1,0,1.35,297,135
181,"Bidfood Brisbane, , 59 Pegasus Drive, MORNINGSIDE, , Bidfood Brisbane","INV-23975/ P8337217.BRI",2025-05-15,"2025-05-15 12:49:44","METRO 1",0,1,0,1.35,297,2
181,"Bidfood Brisbane, , 59 Pegasus Drive, MORNINGSIDE, , Bidfood Brisbane","INV-23975/ P8337217.BRI",2025-05-15,"2025-05-15 12:49:44","METRO 1",0,1,0,1.35,297,15
26546,"Moco Food Services, , 60 Parade Ground Place, WACOL, , ","INV-23979/ 408190",2025-05-12,"2025-05-12 13:45:24","METRO 1",0,1,0,1.765,118.8,3
26546,"Moco Food Services, , 60 Parade Ground Place, WACOL, , ","INV-23979/ 408190",2025-05-12,"2025-05-12 13:45:24","METRO 1",0,1,0,1.765,118.8,33
26546,"Moco Food Services, , 60 Parade Ground Place, WACOL, , ","INV-23979/ 408190",2025-05-12,"2025-05-12 13:45:24","METRO 1",0,1,0,1.765,118.8,9
26546,"Moco Food Services, , 60 Parade Ground Place, WACOL, , ","INV-23979/ 408190",2025-05-12,"2025-05-12 13:45:24","METRO 1",0,1,0,1.765,118.8,9
23261,"Connectr Group, Attn: Stephen Little, 16 Kalamunda Close, ELANORA, , ","INV-23989/ Stephen Little Pick Up 13.05",2025-05-14,"2025-05-15 06:56:24","Warehouse Outbound",1,0,0,0.01,2.2,1
12977,"Bidfood - Botany, , 14 Mcpherson Street, BANKSMEADOW, , ","INV-24001/ P8340654",2025-05-14,"2025-05-16 10:34:39","QLD to NSW Shuttle",0,1,0,1.764,386.2,110
